"Title","Watched","Rating"
"only god forgives","TRUE","8/10"
"into the spiderverse","TRUE","9/10"
"The place beyond the pines","FALSE","-/10"
"Sorry to bother you","FALSE","-/10"
"Barry Seal","TRUE","7/10"
"Hardware","FALSE","-/10"
"A Scanner Darkly","FALSE","-/10"
"A beautiful day","FALSE","-/10"
"Climax","FALSE","-/10"
"Minority Report","TRUE","6/10"
"Total Recall","FALSE","-/10"
"Colletaral","TRUE","7/10"
"Snow Piercer","TRUE","9/10"
"Leon der Profi","HALF","3/10"
"Moon","False","-/10"
"Viktoria","False","-/10"
"TENET","TRUE","10/10"
"Dredd","FALSE","7/10"
"Nocturnal Animals"," FALSE","-/10"
